Date,Mode,Weight,Sets,Reps,Rest,Feeling,Strategy
2023-03-29,support,75.0,3,8,60,轻轻松松,减负
2023-04-02,support,75.0,3,10,60,吃力，虚,维持
2023-04-05,support,75.0,3,8,60,不错,维持
