Date,Mode,Weight,Sets,Reps,Rest,Feeling,Strategy
2022-11-21,bar,20.0,2,15,60,,空杆
2022-11-27,bar,20.0,2,10,60,,加5kg
2023-01-03,bar,20.0,2,10,60,,加5kg
