Date,Mode,Weight,Sets,Reps,Rest,Feeling,Strategy
2023-09-18,self_weight,75.0,2,15,60,好久没练了，吃力,2*20
2023-09-25,self_weight,75.0,2,20,120,爽！！,2*25
2023-10-02,self_weight,75.0,2,20,120,比上次好,2*25
