Date,Mode,Weight,Sets,Reps,Rest,Feeling,Strategy
2023-09-18,self_weight,75.0,2,25,60,吃力,2*30
2023-09-25,self_weight,75.0,2,30,120,爽！！,2*35
2023-10-02,self_weight,75.0,2,30,120,酸爽,2*35
