Date,Weight,Sets,Reps,Rest,Feeling,Strategy
2024-04-28,51.3,5.0,5.0,120.0,强度一下子就上来了,维持，触胸
2024-05-06,51.3,3.0,8.0,180.0,还行,改3*8，22.5kg晋级赛
2024-05-09,51.3,3.0,8.0,180.0,不错，有感觉,晋级22.5kg
