Date,Weight,Sets,Reps,Rest,Feeling,Strategy
2024-03-14,11.3,5.0,5.0,120.0,不错轻松,"尝试10, 5*5"
2024-03-18,31.3,5.0,5.0,60.0,不错,"尝试20, 5*5"
2024-03-22,51.3,5.0,5.0,120.0,吃力，半蹲,维持，全蹲
